PG.ProteinGroups	PG.Genes	[1] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_A10_S28.raw.PG.Quantity	[2] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_A11_S32.raw.PG.Quantity	[3] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_A1_S01.raw.PG.Quantity	[4] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_A2_S04.raw.PG.Quantity	[5] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_A3_S07.raw.PG.Quantity	[6] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_A4_S10.raw.PG.Quantity	[7] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_A5_S13.raw.PG.Quantity	[8] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_A6_S16.raw.PG.Quantity	[9] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_A7_S19.raw.PG.Quantity	[10] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_A8_S22.raw.PG.Quantity	[11] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_A9_S25.raw.PG.Quantity	[12] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_B10_S29.raw.PG.Quantity	[13] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_B11_S33.raw.PG.Quantity	[14] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_B12_S35.raw.PG.Quantity	[15] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_B1_S02.raw.PG.Quantity	[16] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_B2_S05.raw.PG.Quantity	[17] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_B3_S08.raw.PG.Quantity	[18] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_B4_S11.raw.PG.Quantity	[19] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_B5_S14.raw.PG.Quantity	[20] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_B6_S17.raw.PG.Quantity	[21] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_B7_S20.raw.PG.Quantity	[22] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_B8_S23.raw.PG.Quantity	[23] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_B9_S26.raw.PG.Quantity	[24] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_C10_S30.raw.PG.Quantity	[25] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_C11_S34.raw.PG.Quantity	[26] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_C12_S36.raw.PG.Quantity	[27] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_C1_S03.raw.PG.Quantity	[28] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_C2_S06.raw.PG.Quantity	[29] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_C3_S09.raw.PG.Quantity	[30] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_C4_S12.raw.PG.Quantity	[31] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_C5_S15.raw.PG.Quantity	[32] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_C6_S18.raw.PG.Quantity	[33] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_C7_S21.raw.PG.Quantity	[34] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_C8_S24.raw.PG.Quantity	[35] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_C9_S27.raw.PG.Quantity	[36] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_D1_S37.raw.PG.Quantity	[37] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_D2_S40.raw.PG.Quantity	[38] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_E1_S38.raw.PG.Quantity	[39] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_E2_S41.raw.PG.Quantity	[40] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_F1_S39.raw.PG.Quantity	[41] 20260604_AST1_ENO7_PRI_FAIMS45_DIA_60SPD_8cmPS_P08_R2043_X4009_ADG000274_F2_S42.raw.PG.Quantity
A0A096MJY4	Mef2c	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.03745460510254	57.339134216308594	129.4434814453125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36.96052551269531	27.246885299682617	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.35836029052734	102.68537139892578	8.44228744506836	85.10012817382812	NaN	NaN	NaN
A0A0G2JTR4	Abr	440.12152099609375	NaN	962.3001708984375	605.1826782226562	358.0772705078125	678.7352294921875	235.12965393066406	169.0548858642578	195.90426635742188	321.01239013671875	298.8870849609375	430.57232666015625	NaN	NaN	741.9658203125	738.1044921875	464.9193420410156	943.7896728515625	340.855224609375	240.5323486328125	184.4596710205078	371.18060302734375	409.1342468261719	335.1530456542969	NaN	NaN	813.4147338867188	582.2987060546875	452.2077941894531	898.8873291015625	248.06309509277344	194.66871643066406	142.47940063476562	238.96798706054688	261.54302978515625	NaN	111.25320434570312	750.832275390625	NaN	NaN	NaN
A0A0G2JTY4	Nfatc3	28.23134994506836	NaN	30.404672622680664	26.9372615814209	NaN	NaN	48.906558990478516	34.85299301147461	NaN	16.678668975830078	NaN	28.844449996948242	NaN	NaN	8.582930564880371	NaN	NaN	NaN	73.35974884033203	NaN	NaN	21.75086784362793	84.35086059570312	67.38151550292969	NaN	NaN	13.945955276489258	NaN	NaN	NaN	NaN	75.49832916259766	NaN	NaN	80.53549194335938	NaN	NaN	NaN	2374.09814453125	602.5015869140625	NaN
A0A0G2JUG7	Iqsec1	525.6138916015625	NaN	356.7643737792969	391.166748046875	353.9310607910156	414.4551696777344	383.4651184082031	440.9185791015625	424.3011169433594	890.4638671875	314.6527099609375	695.2392578125	NaN	NaN	301.3449401855469	174.77610778808594	471.778076171875	331.0885009765625	373.8739013671875	460.3302917480469	287.70269775390625	589.4678344726562	489.65313720703125	889.961181640625	NaN	NaN	306.86932373046875	344.2694091796875	423.2345886230469	326.1770324707031	282.2987060546875	409.3154296875	190.5632781982422	529.6608276367188	639.664306640625	NaN	414.5333557128906	781.8319702148438	NaN	226.79965209960938	689.726806640625
A0A0G2JV04	Gga3	766.09912109375	NaN	585.2351684570312	340.2889709472656	257.5354919433594	1033.53662109375	247.66116333007812	191.28817749023438	343.7152404785156	486.39703369140625	392.68072509765625	798.8661499023438	54.657657623291016	2432.752197265625	433.6579895019531	586.4236450195312	268.46820068359375	1528.3712158203125	459.6822204589844	390.5310974121094	306.3411560058594	689.2263793945312	836.2125854492188	703.2561645507812	NaN	NaN	543.500244140625	1519.728759765625	493.18890380859375	1145.6378173828125	184.86451721191406	347.9364318847656	142.65045166015625	657.7050170898438	582.0105590820312	NaN	NaN	10112.7353515625	NaN	NaN	NaN
A0A0G2JXN2	Trim46	572.3514404296875	NaN	104.87828826904297	160.73062133789062	169.02488708496094	NaN	226.2106170654297	599.047119140625	883.7230834960938	260.9161071777344	577.0438232421875	266.69732666015625	NaN	NaN	80.2246322631836	493.70928955078125	87.47350311279297	NaN	214.4930877685547	541.6693115234375	798.6358032226562	352.6006164550781	551.6663208007812	307.85711669921875	NaN	NaN	100.12582397460938	193.4885711669922	163.76876831054688	85.05266571044922	263.7532043457031	461.65753173828125	865.9346923828125	261.3957824707031	478.3682861328125	3596.206787109375	NaN	NaN	NaN	NaN	6045.7646484375
A0A0G2JXT6	Mtmr6	322.5308532714844	266.5866394042969	515.6376342773438	783.222900390625	1269.9400634765625	370.7875671386719	534.2122802734375	638.0642700195312	589.7623901367188	472.5954284667969	396.9590148925781	300.7356872558594	779.5645751953125	1071.313232421875	271.4979553222656	445.4727783203125	897.6511840820312	324.28729248046875	284.8154602050781	507.46295166015625	396.91845703125	342.96453857421875	299.3113708496094	519.3628540039062	573.8269653320312	NaN	340.0409851074219	513.9534301757812	546.32666015625	197.80621337890625	516.7789916992188	388.41827392578125	605.6935424804688	410.2890625	472.7791442871094	1393.3031005859375	263.543212890625	543.37646484375	304.4972229003906	215.11949157714844	574.2112426757812
A0A0G2JZ79	Sirt1	222.80029296875	NaN	99.706787109375	47.06056213378906	24.85220718383789	101.84165954589844	114.41598510742188	36.86157989501953	100.87216186523438	141.8343048095703	64.28855895996094	245.28480529785156	NaN	NaN	91.27703094482422	37.41408157348633	50.544654846191406	309.8115539550781	191.41500854492188	70.67530822753906	54.765682220458984	145.15647888183594	137.6970672607422	150.05419921875	NaN	NaN	96.37802124023438	44.15411376953125	30.1124324798584	96.75357818603516	64.74295043945312	85.11322784423828	65.2778549194336	85.88812255859375	67.68362426757812	NaN	NaN	NaN	NaN	NaN	NaN
A0A0G2K0D3	Lmod1	32.135650634765625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.989985466003418	17.112585067749023	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.652344703674316	NaN	NaN	NaN	NaN	1.9841272830963135	90.00306701660156	NaN	NaN	NaN	NaN	NaN	NaN
A0A0G2K1Q8	Abca3	53.02782440185547	1888.254638671875	37.031707763671875	39.535762786865234	274.3351745605469	115.22013854980469	18.197254180908203	39.500064849853516	66.98848724365234	75.00447082519531	19.63190460205078	38.396366119384766	NaN	NaN	20.72591209411621	108.2290267944336	227.74583435058594	123.66494750976562	33.97755432128906	NaN	65.38231658935547	90.49710083007812	55.975547790527344	46.926490783691406	NaN	NaN	21.763275146484375	110.3343505859375	157.17950439453125	79.28002166748047	57.27897644042969	29.295440673828125	48.97977066040039	132.22891235351562	16.486530303955078	NaN	NaN	NaN	NaN	NaN	NaN
