ID,TMT Label,Analytical Sample ID,Biological Sample ID,Subject ID,TMT Type,TMT Set,Concentration,Volume,Plate Id,Plate Position,Status,Request Service Type,Taxa ID,Grouping,TubeLabel
,,S1,control - MB 1,,,,0.02,10,ADG000274,A1,,,,,
,,S2,control - MB 2,,,,0.02,10,ADG000274,B1,,,,,
,,S3,control - MB 3,,,,0.02,10,ADG000274,C1,,,,,
,,S4,Tomm20 - MB 1,,,,0.02,10,ADG000274,A2,,,,,
,,S5,Tomm20 - MB 2,,,,0.02,10,ADG000274,B2,,,,,
,,S6,Tomm20 - MB 3,,,,0.02,10,ADG000274,C2,,,,,
,,S7,Lamp1 - MB 1,,,,0.02,10,ADG000274,A3,,,,,
,,S8,Lamp1 - MB 2,,,,0.02,10,ADG000274,B3,,,,,
,,S9,Lamp1 - MB 3,,,,0.02,10,ADG000274,C3,,,,,
,,S10,ATP2a2 - MB 1,,,,0.02,10,ADG000274,A4,,,,,
,,S11,ATP2a2 - MB 2,,,,0.02,10,ADG000274,B4,,,,,
,,S12,ATP2a2 - MB 3,,,,0.02,10,ADG000274,C4,,,,,
,,S13,Tfrc - MB 1,,,,0.02,10,ADG000274,A5,,,,,
,,S14,Tfrc - MB 2,,,,0.02,10,ADG000274,B5,,,,,
,,S15,Tfrc - MB 3,,,,0.02,10,ADG000274,C5,,,,,
,,S16,control - MT 1,,,,0.02,10,ADG000274,A6,,,,,
,,S17,control - MT 2,,,,0.02,10,ADG000274,B6,,,,,
,,S18,control - MT 3,,,,0.02,10,ADG000274,C6,,,,,
,,S19,Tomm20 - MT 1,,,,0.02,10,ADG000274,A7,,,,,
,,S20,Tomm20 - MT 2,,,,0.02,10,ADG000274,B7,,,,,
,,S21,Tomm20 - MT 3,,,,0.02,10,ADG000274,C7,,,,,
,,S22,Lamp1 - MT 1,,,,0.02,10,ADG000274,A8,,,,,
,,S23,Lamp1 - MT 2,,,,0.02,10,ADG000274,B8,,,,,
,,S24,Lamp1 - MT 3,,,,0.02,10,ADG000274,C8,,,,,
,,S25,ATP2a2 - MT 1,,,,0.02,10,ADG000274,A9,,,,,
,,S26,ATP2a2 - MT 2,,,,0.02,10,ADG000274,B9,,,,,
,,S27,ATP2a2 - MT 3,,,,0.02,10,ADG000274,C9,,,,,
,,S28,Tfrc - MT 1,,,,0.02,10,ADG000274,A10,,,,,
,,S29,Tfrc - MT 2,,,,0.02,10,ADG000274,B10,,,,,
,,S30,Tfrc - MT 3,,,,0.02,10,ADG000274,C10,,,,,
,,S32,Nuclei - MB 1,,,,0.02,10,ADG000274,A11,,,,,
,,S33,Nuclei - MB 2,,,,0.02,10,ADG000274,B11,,,,,
,,S34,Nuclei - MB 3,,,,0.02,10,ADG000274,C11,,,,,
,,S35,Nuclei - MT 1,,,,0.02,10,ADG000274,B12,,,,,
,,S36,Nuclei - MT 2,,,,0.02,10,ADG000274,C12,,,,,
,,S37,Whole cell - MB 1,,,,0.02,10,ADG000274,D1,,,,,
,,S38,Whole cell - MB 2,,,,0.02,10,ADG000274,E1,,,,,
,,S39,Whole cell - MB 3,,,,0.02,10,ADG000274,F1,,,,,
,,S40,Whole cell - MT 1,,,,0.02,10,ADG000274,D2,,,,,
,,S41,Whole cell - MT 2,,,,0.02,10,ADG000274,E2,,,,,
,,S42,Whole cell - MT 3,,,,0.02,10,ADG000274,F2,,,,,
